label,packet_count,flow_duration,total_size,avg_size,std_size,min_size,max_size,fwd_packet_count,bwd_packet_count,avg_iat,std_iat,flow_packets_per_second,flow_bytes_per_second,fwd_bwd_ratio,avg_fwd_size,avg_bwd_size,fwd_bwd_size_ratio
Download,3,0.0531439781188964,166,55.333333333333336,1.8856180831641267,54,58,1,2,0.0265719890594482,0.0265469551086425,56.45042215861679,3123.590026110129,0.3333333333333333,58.0,54.0,1.0545454545454545
Zoom,2,0.1298949718475341,884,442.0,0.0,442,442,2,0,0.1298949718475341,0.0,15.397054801686432,6805.498222345403,2.0,442.0,0.0,0.0
Video,13,0.016888141632080078,9601,738.5384615384615,1575.926424257984,54,5894,7,6,0.001407345136006673,0.0027772079610708087,769.7709009797555,568505.416946664,1.0,1306.2857142857142,76.16666666666667,16.928108608454178
Gezinti,2,0.0309629440307617,276,138.0,55.0,83,193,1,1,0.0309629440307617,0.0,64.59334093079127,8913.881048449195,0.5,193.0,83.0,2.2976190476190474
Zoom,6,0.6485180854797363,2354,392.3333333333333,28.288199345702832,368,432,6,0,0.1297036170959472,0.0006345359981234,9.251862260034809,3629.813960020323,6.0,392.3333333333333,0.0,0.0
Gezinti,10,2.3625991344451904,600,60.0,6.0,54,66,5,5,0.2625110149383545,0.2181780667490554,4.232626624722903,253.95759748337423,0.8333333333333334,66.0,54.0,1.2
Gezinti,6,0.6477899551391602,2354,392.3333333333333,28.288199345702832,368,432,6,0,0.12955799102783203,0.0014829169784294528,9.262261559321436,3633.8939517737763,6.0,392.3333333333333,0.0,0.0
Ses,6,0.6522080898284912,2354,392.3333333333333,28.288199345702832,368,432,6,0,0.13044161796569825,0.0064412061001190525,9.199517904749998,3609.2775246302494,6.0,392.3333333333333,0.0,0.0
Zoom,11,0.0047991275787353,2054,186.72727272727272,300.04972039770973,54,1099,5,6,0.0004799127578735,0.000570199926332,2292.083262953947,427994.4565552189,0.7142857142857143,319.4,76.16666666666667,4.139092872570194
Ses,2,0.13066697120666504,884,442.0,0.0,442,442,2,0,0.13066697120666504,0.0,15.306086775645598,6765.290354835354,2.0,442.0,0.0,0.0
Video,132,911.0467071533203,10882,82.43939393939394,25.674022236776782,70,179,66,66,6.95455501643756,7.500001519592462,0.144888290538309,11.94450286089302,0.9850746268656716,91.12121212121212,73.75757575757575,1.218889339278476
Zoom,6,0.6496069431304932,2354,392.3333333333333,28.288199345702832,368,432,6,0,0.12992138862609864,0.00031415678576388436,9.236354480889098,3623.7297413354895,6.0,392.3333333333333,0.0,0.0
Ses,13,0.014101028442382812,9601,738.5384615384615,1948.1524429131312,54,7354,6,7,0.0011750857035319011,0.0024682654236863953,921.9185716218044,680872.3235493033,0.75,1515.0,73.0,20.472972972972972
Download,27,48.10930895805359,17968,665.4814814814815,861.8887257546592,54,2958,14,13,1.8503580368482149,7.116214588925493,0.5612219461215135,373.482812144865,1.0,116.5,1256.6923076923076,0.09262996941896025
Ses,2,119.99924302101135,140,70.0,0.0,70,70,2,0,119.99924302101135,0.0,0.01666677180330053,1.166674026231037,2.0,70.0,0.0,0.0
Gezinti,2,4.104180812835693,267,133.5,55.5,78,189,1,1,4.104180812835693,0.0,0.4873079650255818,65.05561333091518,0.5,189.0,78.0,2.392405063291139
Download,48,300.3912899494171,14817,308.6875,426.9493605925844,54,1382,18,30,6.39130404147696,18.3830700721449,0.1597915838641084,49.325664544051975,0.5806451612903226,192.94444444444449,378.1333333333333,0.5089092081355138
Zoom,5,0.0080409049987792,274,54.8,1.6,54,58,3,2,0.0020102262496948,0.0033756811098587,621.8205538753484,34075.76635236909,1.0,54.0,56.0,0.9473684210526316
Zoom,6,0.649777889251709,2354,392.3333333333333,28.288199345702832,368,432,6,0,0.12995557785034179,0.00031393393382508406,9.233924544446507,3622.7763962711797,6.0,392.3333333333333,0.0,0.0
Ses,588,165.3554871082306,110763,188.37244897959184,62.12566036925019,70,411,296,292,0.2816958894518409,1.6258776739246759,3.5559751314157158,669.8477440153043,1.0102389078498293,237.5033783783784,138.56849315068493,1.7016976612476442
Ses,10,1.0360419750213623,1191,119.1,126.04003332275028,54,401,5,5,0.11511577500237359,0.30962738003215196,9.652118583123825,1149.5673232500474,0.8333333333333334,125.0,113.2,1.094570928196147
